PMCID,DOI,ArticleType,Received,Accepted,ReviewTime,URL of Editorial Board,EIC is author,Associate Editor is author,Editorial Board member is author,Comment,
PMC7300900,10.1002/agm2.12113,Journal Article,26-Apr-2020 0:00:00,26-Apr-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/24750360/homepage/EditorialBoard.html,1,1,3,GUIDELINES AND CONSENSUS,
PMC7262106,10.1002/ca.23601,Journal Article,02-Apr-2020 0:00:00,02-Apr-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/10982353/homepage/editorialboard.html,0,0,0,Viewpoint,
PMC7228289,10.1002/ccd.28888,Journal Article,25-Mar-2020 0:00:00,25-Mar-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/1522726x/homepage/editorialboard.html,0,0,3,Article,
PMC7240840,10.1002/ctm2.16,Journal Article,14-Mar-2020 0:00:00,14-Mar-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/20011326/homepage/editorial-board,1,1,0,Short communication,
PMC7285843,10.1002/ctm2.7,Journal Article,03-Mar-2020 0:00:00,03-Mar-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/20011326/homepage/editorial-board,0,0,0,Short communication,
PMC7272887,10.1002/eat.23293,Journal Article / Editorial,30-Apr-2020 0:00:00,30-Apr-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/1098108x/homepage/editorialboard.html,1,4,0,Editorial,
PMC7280562,10.1002/eat.23300,Journal Article / Comment,08-May-2020 0:00:00,08-May-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/1098108x/homepage/editorialboard.html,0,0,1,Commentary,
PMC7267427,10.1002/hed.26213,Journal Article,14-Apr-2020 0:00:00,14-Apr-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,1,0,0,Review,
PMC7267608,10.1002/hed.26230,Journal Article,24-Apr-2020 0:00:00,24-Apr-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,0,0,Article,
PMC7276902,10.1002/hed.26258,Journal Article,28-Apr-2020 0:00:00,28-Apr-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,0,0,Article,
PMC7276716,10.1002/hed.26259,Journal Article,28-Apr-2020 0:00:00,28-Apr-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,0,0,Article,
PMC7280620,10.1002/hed.26270,Journal Article,05-May-2020 0:00:00,05-May-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,0,0,Article,
PMC7280616,10.1002/hed.26280,Journal Article,06-May-2020 0:00:00,06-May-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,0,0,Article,
PMC7262302,10.1002/mus.26891,Journal Article,08-Apr-2020 0:00:00,08-Apr-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/10974598/homepage/editorialboard.html,0,1,0,Article,
PMC7300595,10.1002/pa.2164,Journal Article / Comment,24-Apr-2020 0:00:00,24-Apr-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/14791854/homepage/editorialboard.html,0,0,0,Commentary,
PMC7323063,10.1002/pa.2195,Journal Article,19-May-2020 0:00:00,19-May-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/14791854/homepage/editorialboard.html,0,0,0,Article,
PMC7235469,10.1002/pbc.28409,Journal Article,24-Apr-2020 0:00:00,24-Apr-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/15455017/homepage/editorialboard.html,0,1,2,Article,
PMC7267574,10.1002/ppul.24800,Journal Article,17-Apr-2020 0:00:00,17-Apr-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/10990496/homepage/editorialboard.html,0,1,1,Commentary,
PMC7250260,10.1007/s00266-020-01789-w,Journal Article / Letter,11-May-2020 0:00:00,11-May-2020 0:00:00,0,https://www.springer.com/journal/266/editors,0,0,0,Letter to the Editor,
PMC7232926,10.1007/s11357-020-00195-z,Journal Article,23-Apr-2020 0:00:00,23-Apr-2020 0:00:00,0,https://www.springer.com/journal/11357/editors,0,0,0,Article,
PMC7153352,10.1007/s11605-020-04592-9,Journal Article / Review,31-Mar-2020 0:00:00,31-Mar-2020 0:00:00,0,https://www.springer.com/journal/11605/editors,0,0,1,Review,
PMC7095352,10.1007/s11684-020-0765-x,Journal Article,04-Mar-2020 0:00:00,04-Mar-2020 0:00:00,0,https://www.springer.com/journal/11684/editors,1,0,0,Commentary,
PMC7146012,10.1007/s12072-020-10043-z,Journal Article,07-Apr-2020 0:00:00,07-Apr-2020 0:00:00,0,https://www.springer.com/journal/12072/editors,0,0,1,Consensus,
PMC7183927,10.1007/s12098-020-03292-1,Journal Article / Review,02-Apr-2020 0:00:00,02-Apr-2020 0:00:00,0,https://www.springer.com/journal/12098/editors,1,1,0,Review,
PMC7221011,10.1007/s12098-020-03322-y,Journal Article / Review,24-Apr-2020 0:00:00,24-Apr-2020 0:00:00,0,https://www.springer.com/journal/12098/editors,1,1,0,Review,
PMC7305054,10.1007/s12103-020-09547-z,Journal Article,12-Jun-2020 0:00:00,12-Jun-2020 0:00:00,0,https://www.springer.com/journal/12103/editors,0,1,0,Article,
PMC7091166,10.1007/s12519-020-00345-5,Journal Article / Review,02-Feb-2020 0:00:00,02-Feb-2020 0:00:00,0,https://www.springer.com/journal/12519/editors,1,0,2,Review,
PMC7091420,10.1007/s12630-020-01591-x,Journal Article / Review,07-Feb-2020 0:00:00,07-Feb-2020 0:00:00,0,https://www.springer.com/journal/12630/editors,0,0,0,Review,
PMC7205369,10.1007/s12630-020-01684-7,Journal Article,21-Apr-2020 0:00:00,21-Apr-2020 0:00:00,0,https://www.springer.com/journal/12630/editors,0,0,1,Article,
PMC7258604,10.1007/s40558-020-00181-3,Journal Article,22-May-2020 0:00:00,22-May-2020 0:00:00,0,https://www.springer.com/journal/40558/editors,1,8,0,Viewpoint,
PMC7181986,10.1016/j.acuro.2020.04.006,Journal Article / Review,21-Apr-2020 0:00:00,21-Apr-2020 0:00:00,0,https://www.sciencedirect.com/journal/actas-urologicas-espanolas/about/editorial-board,0,0,0,Article,
PMC7198203,10.1016/j.admp.2020.04.018,Journal Article,29-Apr-2020 0:00:00,29-Apr-2020 0:00:00,0,https://www.journals.elsevier.com/archives-des-maladies-professionnelles-et-de-lenvironnement/editorial-board,0,4,0,Review,
PMC7102610,10.1016/j.adro.2020.03.003,Journal Article,16-Mar-2020 0:00:00,16-Mar-2020 0:00:00,0,https://www.journals.elsevier.com/advances-in-radiation-oncology/editorial-board,0,0,0,Opinion,
PMC7270882,10.1016/j.adro.2020.03.004,Journal Article / Review,17-Mar-2020 0:00:00,17-Mar-2020 0:00:00,0,https://www.journals.elsevier.com/advances-in-radiation-oncology/editorial-board,0,0,0,Letter to the Editor,
PMC7195454,10.1016/j.adro.2020.03.012,Journal Article,24-Mar-2020 0:00:00,24-Mar-2020 0:00:00,0,https://www.journals.elsevier.com/advances-in-radiation-oncology/editorial-board,0,0,0,Brief reporting,
PMC7212958,10.1016/j.adro.2020.04.021,Journal Article,13-Apr-2020 0:00:00,13-Apr-2020 0:00:00,0,https://www.journals.elsevier.com/advances-in-radiation-oncology/editorial-board,0,0,0,Brief opinion,
PMC7102516,10.1016/j.ajem.2020.03.036,Journal Article,22-Mar-2020 0:00:00,22-Mar-2020 0:00:00,0,https://www.journals.elsevier.com/american-journal-of-emergency-medicine/editorial-board,0,0,1,Article,
PMC7242930,10.1016/j.ajem.2020.05.042,Journal Article / Case Report,19-May-2020 0:00:00,19-May-2020 0:00:00,0,https://www.journals.elsevier.com/american-journal-of-emergency-medicine/editorial-board,0,0,1,Article,
PMC7212949,10.1016/j.amjms.2020.05.006,Journal Article / Review,01-May-2020 0:00:00,01-May-2020 0:00:00,0,https://www.journals.elsevier.com/the-american-journal-of-the-medical-sciences/editorial-board,0,0,0,Review,
PMC7166028,10.1016/j.arth.2020.04.038,Journal Article,15-Apr-2020 0:00:00,15-Apr-2020 0:00:00,0,https://www.journals.elsevier.com/journal-of-arthroplasty/editorial-board,0,0,0,Article,
PMC7195265,10.1016/j.arth.2020.04.054,Journal Article,17-Apr-2020 0:00:00,17-Apr-2020 0:00:00,0,https://www.journals.elsevier.com/journal-of-arthroplasty/editorial-board,0,0,2,Response,
PMC7185911,10.1016/j.athoracsur.2020.04.007,Journal Article,16-Apr-2020 0:00:00,16-Apr-2020 0:00:00,0,https://www.journals.elsevier.com/the-annals-of-thoracic-surgery/editorial-board,0,1,0,Report,
PMC7227551,10.1016/j.athoracsur.2020.05.003,Journal Article,06-May-2020 0:00:00,06-May-2020 0:00:00,0,https://www.journals.elsevier.com/the-annals-of-thoracic-surgery/editorial-board,0,1,0,Report,
PMC7177144,10.1016/j.avsg.2020.04.037,Journal Article / Case Report,07-Apr-2020 0:00:00,07-Apr-2020 0:00:00,0,https://www.journals.elsevier.com/annals-of-vascular-surgery/editorial-board,0,0,0,Article,
PMC7211577,10.1016/j.avsg.2020.04.041,Journal Article,30-Apr-2020 0:00:00,30-Apr-2020 0:00:00,0,https://www.journals.elsevier.com/annals-of-vascular-surgery/editorial-board,0,0,0,Article,
PMC7175849,10.1016/j.bbi.2020.04.056,Journal Article / Review,21-Apr-2020 0:00:00,21-Apr-2020 0:00:00,0,https://www.journals.elsevier.com/brain-behavior-and-immunity/editorial-board,0,0,0,Viewpoint,
PMC7206431,10.1016/j.bbi.2020.05.026,Journal Article / Review,06-May-2020 0:00:00,06-May-2020 0:00:00,0,https://www.journals.elsevier.com/brain-behavior-and-immunity/editorial-board,0,0,0,Article,
PMC7212955,10.1016/j.bbi.2020.05.028,Journal Article / Letter,07-May-2020 0:00:00,07-May-2020 0:00:00,0,https://www.journals.elsevier.com/brain-behavior-and-immunity/editorial-board,0,0,0,Case report,
PMC7138160,10.1016/j.bbih.2020.100064,Journal Article,21-Mar-2020 0:00:00,21-Mar-2020 0:00:00,0,https://www.journals.elsevier.com/brain-behavior-and-immunity-health/editorial-board,0,0,2,Article,
PMC7162778,10.1016/j.carpath.2020.107228,Journal Article / Review,11-Apr-2020 0:00:00,11-Apr-2020 0:00:00,0,https://www.journals.elsevier.com/cardiovascular-pathology/editorial-board,0,0,0,Review,
PMC7227608,10.1016/j.carrev.2020.05.009,Journal Article / Case Report,11-May-2020 0:00:00,11-May-2020 0:00:00,0,https://www.journals.elsevier.com/cardiovascular-revascularization-medicine/editorial-board,1,0,3,Case report,
PMC7241397,10.1016/j.carrev.2020.05.027,Journal Article / Review,19-May-2020 0:00:00,19-May-2020 0:00:00,0,https://www.journals.elsevier.com/cardiovascular-revascularization-medicine/editorial-board,1,2,1,Review,
PMC7196403,10.1016/j.cireng.2020.04.003,Journal Article,17-Mar-2020 0:00:00,17-Mar-2020 0:00:00,0,https://www.journals.elsevier.com/cirugia-espanola/editorial-board,0,1,0,Special article,
PMC7253976,10.1016/j.cireng.2020.05.008,Journal Article,03-Apr-2020 0:00:00,03-Apr-2020 0:00:00,0,https://www.journals.elsevier.com/cirugia-espanola/editorial-board,0,0,0,Article,
PMC7270428,10.1016/j.ciresp.2020.03.001,Journal Article,17-Mar-2020 0:00:00,17-Mar-2020 0:00:00,0,,,,,Duplicate (spanish version of PMC7196403),
PMC7138380,10.1016/j.ciresp.2020.04.001,Journal Article,03-Apr-2020 0:00:00,03-Apr-2020 0:00:00,0,,,,,Duplicate (spanish version of PMC7253976),
PMC7102580,10.1016/j.cjca.2020.03.027,Journal Article,23-Mar-2020 0:00:00,23-Mar-2020 0:00:00,0,https://www.journals.elsevier.com/canadian-journal-of-cardiology/editorial-board,0,0,5,Guidelines,
PMC7195336,10.1016/j.cjca.2020.04.003,Journal Article,02-Apr-2020 0:00:00,02-Apr-2020 0:00:00,0,https://www.journals.elsevier.com/canadian-journal-of-cardiology/editorial-board,0,0,3,Article,
PMC7189192,10.1016/j.clim.2020.108450,Journal Article,27-Apr-2020 0:00:00,27-Apr-2020 0:00:00,0,https://www.journals.elsevier.com/clinical-immunology/editorial-board,0,0,0,Case report,
PMC7141645,10.1016/j.clinimag.2020.04.001,Journal Article / Review,06-Apr-2020 0:00:00,06-Apr-2020 0:00:00,0,https://www.journals.elsevier.com/clinical-imaging/editorial-board,0,0,0,Review,
PMC7118596,10.1016/j.ctcp.2020.101166,Journal Article,30-Mar-2020 0:00:00,30-Mar-2020 0:00:00,0,https://www.journals.elsevier.com/complementary-therapies-in-clinical-practice/editorial-board,0,0,0,Article,
PMC7241378,10.1016/j.diabet.2020.05.008,Journal Article / Review,15-May-2020 0:00:00,15-May-2020 0:00:00,0,https://www.journals.elsevier.com/diabetes-and-metabolism/editorial-board,0,1,0,Review,
PMC7144598,10.1016/j.dsx.2020.03.016,Journal Article,28-Mar-2020 0:00:00,28-Mar-2020 0:00:00,0,https://www.journals.elsevier.com/diabetes-and-metabolic-syndrome-clinical-research-and-reviews/editorial-board,1,1,0,Article,
PMC7214279,10.1016/j.dsx.2020.05.018,Journal Article,08-May-2020 0:00:00,08-May-2020 0:00:00,0,https://www.journals.elsevier.com/diabetes-and-metabolic-syndrome-clinical-research-and-reviews/editorial-board,1,0,0,Review,
PMC7270771,10.1016/j.earlhumdev.2020.105026,Journal Article,23-Mar-2020 0:00:00,23-Mar-2020 0:00:00,0,https://www.journals.elsevier.com/early-human-development/editorial-board,0,0,0,Article,
PMC7136865,10.1016/j.ejca.2020.03.024,Journal Article,31-Mar-2020 0:00:00,31-Mar-2020 0:00:00,0,https://www.journals.elsevier.com/european-journal-of-cancer/editorial-board,0,0,0,Article,
PMC7128395,10.1016/j.ekir.2020.04.001,Journal Article / Review,02-Apr-2020 0:00:00,02-Apr-2020 0:00:00,0,https://www.journals.elsevier.com/kidney-international-reports/editorial-board,0,0,0,Review,
PMC7102667,10.1016/j.gie.2020.03.019,Journal Article,12-Mar-2020 0:00:00,12-Mar-2020 0:00:00,0,https://www.journals.elsevier.com/gastrointestinal-endoscopy/editorial-board,0,1,0,Special article,
PMC7187877,10.1016/j.gie.2020.04.049,Journal Article,21-Apr-2020 0:00:00,21-Apr-2020 0:00:00,0,https://www.journals.elsevier.com/gastrointestinal-endoscopy/editorial-board,1,0,0,Article,
PMC7328539,10.1016/j.gine.2020.06.013,Journal Article,29-Jun-2020 0:00:00,29-Jun-2020 0:00:00,0,https://www.sciencedirect.com/journal/clinica-e-investigacion-en-ginecologia-y-obstetricia,0,1,2,Original,
PMC7175876,10.1016/j.gsd.2020.100400,Journal Article,18-Apr-2020 0:00:00,18-Apr-2020 0:00:00,0,https://www.journals.elsevier.com/groundwater-for-sustainable-development/editorial-board,0,1,0,Perspective,
PMC7118697,10.1016/j.hrthm.2020.03.028,Journal Article,25-Mar-2020 0:00:00,25-Mar-2020 0:00:00,0,https://www.journals.elsevier.com/heart-rhythm/editorial-board,0,0,5,Article,
PMC7186517,10.1016/j.idcr.2020.e00762,Journal Article / Case Report,06-Apr-2020 0:00:00,06-Apr-2020 0:00:00,0,https://www.journals.elsevier.com/idcases/editorial-board,0,0,0,Case report,
PMC7233233,10.1016/j.idcr.2020.e00828,Journal Article,15-May-2020 0:00:00,15-May-2020 0:00:00,0,https://www.journals.elsevier.com/idcases/editorial-board,0,0,0,Case report,
PMC7250100,10.1016/j.ijcard.2020.04.028,Journal Article,08-Apr-2020 0:00:00,08-Apr-2020 0:00:00,0,https://www.journals.elsevier.com/international-journal-of-cardiology/editorial-board,0,1,0,Short communication,
PMC7263207,10.1016/j.ijinfomgt.2020.102157,Journal Article,23-May-2020 0:00:00,23-May-2020 0:00:00,0,https://www.sciencedirect.com/journal/international-journal-of-information-management/about/editorial-board,0,0,1,Opinion Paper,
PMC7280123,10.1016/j.ijinfomgt.2020.102171,Journal Article,06-Jun-2020 0:00:00,06-Jun-2020 0:00:00,0,https://www.sciencedirect.com/journal/international-journal-of-information-management/about/editorial-board,0,0,1,Opinion Paper,
PMC7307515,10.1016/j.ijinfomgt.2020.102172,Journal Article,08-Jun-2020 0:00:00,08-Jun-2020 0:00:00,0,https://www.sciencedirect.com/journal/international-journal-of-information-management/about/editorial-board,0,0,1,Opinion Paper,
PMC7323683,10.1016/j.ijinfomgt.2020.102173,Journal Article,11-Jun-2020 0:00:00,11-Jun-2020 0:00:00,0,https://www.sciencedirect.com/journal/international-journal-of-information-management/about/editorial-board,0,0,1,Opinion Paper,
PMC7304950,10.1016/j.ijinfomgt.2020.102175,Journal Article,12-Jun-2020 0:00:00,12-Jun-2020 0:00:00,0,https://www.sciencedirect.com/journal/international-journal-of-information-management/about/editorial-board,0,0,1,Opinion Paper,
PMC7324927,10.1016/j.ijinfomgt.2020.102178,Journal Article,14-Jun-2020 0:00:00,14-Jun-2020 0:00:00,0,https://www.sciencedirect.com/journal/international-journal-of-information-management/about/editorial-board,0,0,1,Opinion Paper,
PMC7309933,10.1016/j.ijinfomgt.2020.102180,Journal Article,15-Jun-2020 0:00:00,15-Jun-2020 0:00:00,0,https://www.sciencedirect.com/journal/international-journal-of-information-management/about/editorial-board,0,0,1,Opinion Paper,
PMC7328565,10.1016/j.ijinfomgt.2020.102181,Journal Article,15-Jun-2020 0:00:00,15-Jun-2020 0:00:00,0,https://www.sciencedirect.com/journal/international-journal-of-information-management/about/editorial-board,0,0,1,Opinion Paper,
PMC7320701,10.1016/j.ijinfomgt.2020.102183,Journal Article,15-Jun-2020 0:00:00,15-Jun-2020 0:00:00,0,https://www.sciencedirect.com/journal/international-journal-of-information-management/about/editorial-board,0,0,1,Opinion Paper,
PMC7333595,10.1016/j.ijinfomgt.2020.102185,Journal Article,15-Jun-2020 0:00:00,15-Jun-2020 0:00:00,0,https://www.sciencedirect.com/journal/international-journal-of-information-management/about/editorial-board,0,0,1,Opinion Paper,
PMC7320916,10.1016/j.ijinfomgt.2020.102188,Journal Article,16-Jun-2020 0:00:00,16-Jun-2020 0:00:00,0,https://www.sciencedirect.com/journal/international-journal-of-information-management/about/editorial-board,0,0,1,Opinion Paper,
PMC7327446,10.1016/j.ijinfomgt.2020.102192,Journal Article,19-Jun-2020 0:00:00,19-Jun-2020 0:00:00,0,https://www.sciencedirect.com/journal/international-journal-of-information-management/about/editorial-board,0,0,1,Opinion Paper,
PMC7172675,10.1016/j.ijporl.2020.110059,Journal Article,19-Apr-2020 0:00:00,19-Apr-2020 0:00:00,0,https://www.journals.elsevier.com/international-journal-of-pediatric-otorhinolaryngology/editorial-board,0,1,0,Article,
PMC7177110,10.1016/j.ijsu.2020.04.050,Journal Article / Letter,20-Apr-2020 0:00:00,20-Apr-2020 0:00:00,0,https://www.journals.elsevier.com/international-journal-of-surgery/editorial-board,0,5,0,Review,
PMC7151324,10.1016/j.jacbts.2020.04.001,Journal Article,08-Apr-2020 0:00:00,08-Apr-2020 0:00:00,0,https://basictranslational.onlinejacc.org/content/editorial-board,0,1,0,Perspective,
PMC7151394,10.1016/j.jacbts.2020.04.002,Journal Article / Review,07-Apr-2020 0:00:00,07-Apr-2020 0:00:00,0,https://basictranslational.onlinejacc.org/content/editorial-board,0,0,0,Review,
PMC7162643,10.1016/j.jacbts.2020.04.003,Journal Article / Review,13-Apr-2020 0:00:00,13-Apr-2020 0:00:00,0,https://basictranslational.onlinejacc.org/content/editorial-board,2,0,0,Review,
PMC7198856,10.1016/j.jacc.2020.03.031,Journal Article / Review,17-Mar-2020 0:00:00,17-Mar-2020 0:00:00,0,https://www.onlinejacc.org/content/editorial-board,0,1,0,Review,
PMC7146690,10.1016/j.jacc.2020.04.009,Journal Article / Review,07-Apr-2020 0:00:00,07-Apr-2020 0:00:00,0,https://www.onlinejacc.org/content/editorial-board,0,1,0,Review,
PMC7164881,10.1016/j.jacc.2020.04.031,Journal Article / Review,15-Apr-2020 0:00:00,15-Apr-2020 0:00:00,0,https://www.onlinejacc.org/content/editorial-board,0,3,1,Review,
PMC7164888,10.1016/j.jaccao.2020.04.002,Journal Article / Review,13-Apr-2020 0:00:00,13-Apr-2020 0:00:00,0,https://cardiooncology.onlinejacc.org/journals/editorial-board/jacc-cardiooncology,2,0,0,Review,
PMC7129776,10.1016/j.jaip.2020.04.001,Journal Article / Review,01-Apr-2020 0:00:00,01-Apr-2020 0:00:00,0,https://www.jaci-inpractice.org/content/edboard,0,0,1,Special article,
PMC7128345,10.1016/j.jamcollsurg.2020.03.019,Journal Article,19-Mar-2020 0:00:00,19-Mar-2020 0:00:00,0,https://www.facs.org/publications/jacs/editorial,0,0,0,Special article,
PMC7194622,10.1016/j.jamcollsurg.2020.04.007,Journal Article,02-Apr-2020 0:00:00,02-Apr-2020 0:00:00,0,https://www.facs.org/publications/jacs/editorial,0,0,1,Article,
PMC7184977,10.1016/j.jamcollsurg.2020.04.029,Journal Article,22-Apr-2020 0:00:00,22-Apr-2020 0:00:00,0,https://www.facs.org/publications/jacs/editorial,0,0,0,Special article,
PMC7177102,10.1016/j.jamda.2020.04.017,Journal Article,17-Apr-2020 0:00:00,17-Apr-2020 0:00:00,0,https://www.jamda.com/content/edboard,0,1,0,Opinion Paper,
PMC7297162,10.1016/j.jamda.2020.06.017,Journal Article,09-Jun-2020 0:00:00,09-Jun-2020 0:00:00,0,https://www.jamda.com/content/edboard,0,1,1,Special article,
