PMCID,DOI,ArticleType,Received,Accepted,ReviewTime,URL of Editorial Board,EIC is author,Associate Editor is author,Editorial Board member is author,Comment,Type by journal,Type by me,Binary type
PMC7299396,10.1021/acssensors.0c00979,Journal Article / Review,13/05/2020,02/06/2020,20,https://pubs.acs.org/page/ascefj/editors.html,0,0,0,Perspective,Perspective,Perspective,Editorial
PMC7288975,10.18632/aging.103347,Journal Article,29/04/2020,19/05/2020,20,https://www.aging-us.com/editorial-board,0,0,0,Perspective,Research perspective,Perspective,Editorial
PMC7280705,10.1002/agm2.12114,Journal Article,06/04/2020,26/04/2020,20,https://onlinelibrary.wiley.com/page/journal/24750360/homepage/EditorialBoard.html,0,1,0,Article,Original article,Article,Article
PMC7241861,10.1007/s11869-020-00842-6,Journal Article,24/04/2020,14/05/2020,20,https://www.springer.com/journal/11869/editors?gclid=Cj0KCQjwy8f6BRC7ARIsAPIXOjj9GK_ySZL5l9DWgBDK6t3ADJ8RC-7s7cGZXRqrx44FFZR7X-81LW8aAuGoEALw_wcB,0,0,0,Article,-,Article,Article
PMC7328543,10.1016/j.aller.2020.06.001,Journal Article / Review,31/05/2020,20/06/2020,20,https://www.journals.elsevier.com/allergologia-et-immunopathologia/editorial-board,0,0,0,Review,Review,Review,Editorial
PMC7252188,10.1016/j.ahj.2020.04.024,Journal Article,08/04/2020,28/04/2020,20,https://www.journals.elsevier.com/american-heart-journal/editorial-board,0,0,4,Special article,Special Article,Guidelines,Editorial
PMC7299395,10.1021/acs.analchem.0c01884,Journal Article,02/05/2020,22/05/2020,20,https://pubs.acs.org/page/ancham/editors.html,0,0,0,Article,Article,Article,Article
PMC7214912,10.21037/atm.2020.04.26,Journal Article,27/02/2020,18/03/2020,20,http://atm.amegroups.com/about/editorialTeam,0,0,0,Article,Original article,Article,Article
PMC7214894,10.21037/atm.2020.04.20,Journal Article,10/03/2020,30/03/2020,20,http://atm.amegroups.com/about/editorialTeam,0,0,0,Article,Original article,Article,Article
PMC7154461,10.21037/atm.2020.03.22,Journal Article,19/02/2020,10/03/2020,20,http://atm.amegroups.com/about/editorialTeam,0,0,0,Article,Original article,Article,Article
PMC7188648,10.1016/j.antiviral.2020.104811,Journal Article,05/04/2020,25/04/2020,20,https://www.journals.elsevier.com/antiviral-research/editorial-board,0,0,0,Article,Research paper,Article,Article
PMC7188630,10.1016/j.arcmed.2020.04.016,Journal Article,03/04/2020,23/04/2020,20,https://www.journals.elsevier.com/archives-of-medical-research/editorial-board,0,0,0,Opinion,Opinion,Opinion,Editorial
PMC7265875,10.1007/s00705-020-04683-7,Journal Article,07/04/2020,27/04/2020,20,https://www.springer.com/journal/705/editors?gclid=Cj0KCQjwy8f6BRC7ARIsAPIXOjigxxfY2PLvHKUhmaWRNciO4M2IHIGZtI1kgx8Q55xLYMVE7gjOJcgaAkMDEALw_wcB,0,0,0,Article,Brief report,Article,Article
PMC7186209,10.1016/j.biopha.2020.110195,Journal Article / Review,03/04/2020,23/04/2020,20,https://www.journals.elsevier.com/biomedicine-and-pharmacotherapy/editorial-board,0,0,0,Review,Review,Review,Editorial
PMC7277789,10.3390/biomedicines8050129,Journal Article,25/04/2020,15/05/2020,20,https://www.mdpi.com/journal/biomedicines/editors#editorialboard,0,0,0,Article,Article,Article,Article
PMC7287983,10.3390/brainsci10050284,Journal Article / Review,16/04/2020,06/05/2020,20,https://www.mdpi.com/journal/brainsci/editors,0,0,0,Review,Review,Review,Editorial
PMC7235603,10.1016/j.bbi.2020.05.038,Journal Article,22/04/2020,12/05/2020,20,https://www.journals.elsevier.com/brain-behavior-and-immunity/editorial-board,0,0,0,Article,-,Article,Article
PMC7277776,10.15420/cfr.2020.10,Journal Article / Review,24/04/2020,14/05/2020,20,https://www.cfrjournal.com/cfr-editorial-board,0,0,1,Article,-,Review,Editorial
PMC7181998,10.1016/j.cell.2020.04.004,Journal Article,12/03/2020,01/04/2020,20,https://www.cell.com/cell/editorial-board,0,0,0,Article,Article,Article,Article
PMC7144619,10.1016/j.cell.2020.03.045,Journal Article,28/02/2020,19/03/2020,20,https://www.cell.com/cell/editorial-board,0,0,0,Article,Article,Article,Article
PMC7323371,10.1007/s12195-020-00630-3,Journal Article / Review,29/05/2020,18/06/2020,20,https://www.springer.com/journal/12195/editors?gclid=Cj0KCQjwy8f6BRC7ARIsAPIXOjgtrfqJ-NDDZl6DdFYpypS3m4lXoeJRRjPYgp_spggvEA9xILERUSIaAk9OEALw_wcB,1,0,0,Article,-,Review,Editorial
PMC7324352,10.1016/j.chaos.2020.110052,Journal Article,03/06/2020,23/06/2020,20,https://www.sciencedirect.com/journal/chaos-solitons-and-fractals/about/editorial-board,0,0,0,Article,-,Article,Article
PMC7305939,10.1016/j.chaos.2020.110032,Journal Article,29/05/2020,18/06/2020,20,https://www.sciencedirect.com/journal/chaos-solitons-and-fractals/about/editorial-board,0,0,0,Article,-,Article,Article
PMC7261458,10.1016/j.chaos.2020.109943,Journal Article,06/05/2020,26/05/2020,20,https://www.sciencedirect.com/journal/chaos-solitons-and-fractals/about/editorial-board,0,0,0,Article,-,Article,Article
PMC7194694,10.1016/j.cca.2020.04.024,Journal Article,02/04/2020,22/04/2020,20,https://www.journals.elsevier.com/clinica-chimica-acta/editorial-board,0,0,0,Article,-,Article,Article
PMC7251358,10.1016/j.clinbiochem.2020.05.012,Journal Article / Review,02/05/2020,22/05/2020,20,https://www.journals.elsevier.com/clinical-biochemistry/editorial-board,0,0,1,Article,Review,Meta-analysis,Article
PMC7274070,10.1186/s13054-020-03021-2,Journal Article,05/05/2020,25/05/2020,20,https://ccforum.biomedcentral.com/about/editorial-board,0,1,0,Viewpoint,Viewpoint,Guidelines,Editorial
PMC7317136,10.7759/cureus.8790,Journal Article / Review,04/06/2020,24/06/2020,20,https://www.cureus.com/editorial_board,0,0,0,Review Article,Review Article,Review,Editorial
PMC7314365,10.7759/cureus.8268,Journal Article / Case Report,04/05/2020,24/05/2020,20,https://www.cureus.com/editorial_board,0,0,0,Case Report,Case report,Case report,Article
PMC7313429,10.7759/cureus.8260,Journal Article / Review,04/05/2020,24/05/2020,20,https://www.cureus.com/editorial_board,0,0,0,Review Article,Review Article,Review,Editorial
PMC7270948,10.7759/cureus.7954,Journal Article,14/04/2020,04/05/2020,20,https://www.cureus.com/editorial_board,0,0,0,Technical Report,Technical Report,Article,Article
PMC7211627,10.1016/j.cub.2020.05.023,Journal Article,16/04/2020,06/05/2020,20,https://www.cell.com/current-biology/editors-and-staff,0,0,0,Report,Report,Article,Article
PMC7228407,10.1002/dmrr.3319,Journal Article,05/03/2020,25/03/2020,20,https://onlinelibrary.wiley.com/page/journal/15207560/homepage/editorialboard.html,0,0,0,Article,Research Article,Article,Article
PMC7298089,10.1017/dmp.2020.168,Journal Article,27/04/2020,17/05/2020,20,https://www.cambridge.org/core/journals/disaster-medicine-and-public-health-preparedness/information/editorial-board,0,0,0,Case Report,First view,Commentary,Editorial
PMC7093072,10.15190/d.2020.2,Journal Article / Review,20/02/2020,11/03/2020,20,https://discoveriesjournals.org/discoveries/D.2020.01.FR-SZ.DOI,0,0,0,Review Article,Focused Review,Review,Editorial
PMC7307055,10.1002/ddr.21701,Journal Article / Comment,05/05/2020,25/05/2020,20,https://onlinelibrary.wiley.com/page/journal/10982299/homepage/editorialboard.html,0,0,0,Commentary,Commentary,Commentary,Editorial
PMC7170333,10.1080/22221751.2020.1746199,Journal Article / Review,26/02/2020,17/03/2020,20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=temi20,0,0,0,Review Article,Review,Review,Editorial
PMC7292048,10.1136/esmoopen-2020-000810,Journal Article,28/04/2020,18/05/2020,20,https://esmoopen.bmj.com/pages/editorial-board/,0,0,0,Article,Original research,Article,Article
PMC7298480,10.1016/j.jemep.2020.100547,Journal Article / Review,19/05/2020,08/06/2020,20,https://www.sciencedirect.com/journal/ethics-medicine-and-public-health/about/editorial-board,0,0,0,Perspective,Thoughts,Perspective,Editorial
PMC7289480,10.1007/s00405-020-06119-z,Journal Article,19/05/2020,08/06/2020,20,https://www.springer.com/journal/405/editors,0,0,1,Short Article,Short communication,Article,Article
PMC7227176,10.1007/s00330-020-06934-2,Journal Article / Review,14/04/2020,04/05/2020,20,https://www.springer.com/journal/330/editors,0,0,0,Article,Computed Tomography ,Meta-analysis,Article
PMC7156230,10.1007/s00330-020-06860-3,Journal Article / Review,12/03/2020,01/04/2020,20,https://www.springer.com/journal/330/editors,0,0,0,Article,Chest ,Review,Editorial
PMC7315722,10.2807/1560-7917.ES.2020.25.24.2001057,Journal Article,28/05/2020,17/06/2020,20,https://www.eurosurveillance.org/board,0,0,0,Rapid Communication,Rapid communication,Article,Article
PMC7219029,10.2807/1560-7917.ES.2020.25.18.2000632,Journal Article,15/04/2020,05/05/2020,20,https://www.eurosurveillance.org/board,0,0,0,Rapid Communication,Rapid communication,Article,Article
PMC7189648,10.2807/1560-7917.ES.2020.25.16.2000421,Journal Article,25/03/2020,14/04/2020,20,https://www.eurosurveillance.org/board,0,0,0,Article,Research,Article,Article
PMC7140597,10.2807/1560-7917.ES.2020.25.13.2000305,Journal Article,13/03/2020,02/04/2020,20,https://www.eurosurveillance.org/board,0,0,0,Rapid Communication,Rapid communication,Article,Article
PMC7118348,10.2807/1560-7917.ES.2020.25.12.2000256,Journal Article,06/03/2020,26/03/2020,20,https://www.eurosurveillance.org/board,0,0,0,Rapid Communication,Rapid communication,Article,Article
PMC7081066,10.17179/excli2020-1167,Journal Article,25/02/2020,16/03/2020,20,https://www.excli.de/index.php/excli/about/editorialTeam,0,0,0,Article,Original article,Article,Article
PMC7280584,10.1002/1873-3468.13845,Journal Article,28/04/2020,18/05/2020,20,https://febs.onlinelibrary.wiley.com/hub/journal/18733468/editorial-board,0,0,0,Editor's Choice,Editor's Choice,Article,Article
PMC7224668,10.1016/j.frl.2020.101554,Journal Article,30/03/2020,19/04/2020,20,https://www.journals.elsevier.com/finance-research-letters/editorial-board,0,1,0,Article,-,Article,Article
PMC7227382,10.3389/fimmu.2020.00970,Journal Article,04/04/2020,24/04/2020,20,https://www.frontiersin.org/journals/immunology#editorial-board,0,0,0,Perspective Article,Perspective Article,Article,Article
PMC7203466,10.3389/fmed.2020.00185,Journal Article,31/03/2020,20/04/2020,20,https://www.frontiersin.org/journals/medicine#editorial-board,0,1,0,Short Article,Brief research report article,Article,Article
PMC7287170,10.3389/fpubh.2020.00259,Journal Article,01/05/2020,21/05/2020,20,https://www.frontiersin.org/journals/public-health#editorial-board,0,0,0,Perspectives,Perspective Article,Guidelines,Editorial
PMC7255426,10.4155/fdd-2020-0012,Journal Article / Review,14/04/2020,04/05/2020,20,https://www.future-science.com/journals/fdd/editors,0,0,0,Article,Special report,Review,Editorial
PMC7318920,10.1053/j.gastro.2020.06.048,Journal Article,30/05/2020,19/06/2020,20,https://www.gastrojournal.org/content/editorial-board,0,0,1,Article,"Basic and Translational—Alimentary Tract
 ",Article,Article
PMC7194810,10.1016/j.gendis.2020.03.008,Journal Article,02/03/2020,22/03/2020,20,https://www.sciencedirect.com/journal/genes-and-diseases/about/editorial-board,0,1,0,Article,Full Length Article ,Article,Article
PMC7269037,10.1080/16549716.2020.1760490,Journal Article,01/04/2020,21/04/2020,20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=zgha20,1,0,0,Article,Original article,Article,Article
PMC7272234,10.1186/s41256-020-00154-3,Journal Article / Letter,23/04/2020,13/05/2020,20,https://ghrp.biomedcentral.com/about/editorial-board,0,0,1,Commentary,Commentary,Commentary,Editorial
PMC7225094,10.1186/s41256-020-00152-5,Journal Article,13/04/2020,03/05/2020,20,https://ghrp.biomedcentral.com/about/editorial-board,1,0,0,Article,Research,Article,Article
PMC7326512,10.9745/GHSP-D-20-00160,Journal Article,16/04/2020,06/05/2020,20,https://www.ghspjournal.org/content/editorial-team,0,0,0,Viewpoint,Viewpoint,Viewpoint,Editorial
PMC7323436,10.1111/head.13885,Journal Article,30/04/2020,20/05/2020,20,https://headachejournal.onlinelibrary.wiley.com/hub/journal/15264610/editorialboard.html,0,0,1,Perspective,Views And Perspectives ,Perspective,Editorial
PMC7151105,10.3390/healthcare8010064,Journal Article,27/02/2020,18/03/2020,20,https://www.mdpi.com/journal/healthcare/editors,0,0,0,Article,Article,Article,Article
PMC7328618,10.1016/j.hrthm.2020.06.033,Journal Article,09/06/2020,29/06/2020,20,https://www.sciencedirect.com/journal/heart-rhythm/about/editorial-board,0,0,0,Article,-,Article,Article
PMC7319491,10.2217/imt-2020-0136,Journal Article / Case Report,14/05/2020,03/06/2020,20,https://www.futuremedicine.com/journals/imt/editors,0,0,0,Case report,Case report,Case report,Article
PMC7275846,10.1007/s12291-020-00897-3,Journal Article / Review,12/05/2020,01/06/2020,20,https://www.springer.com/journal/12291/editors,1,1,0,Review,Review Article,Review,Editorial
PMC7185905,10.1007/s12070-020-01863-4,Journal Article,26/03/2020,15/04/2020,20,https://www.springer.com/journal/12070/editors,0,0,0,Article,Original Article,Article,Article
PMC7276143,10.1016/j.indmarman.2020.05.018,Journal Article,30/04/2020,20/05/2020,20,https://www.sciencedirect.com/journal/industrial-marketing-management/about/editorial-board,0,0,0,Article,Research paper,Article,Article
PMC7137400,10.1186/s40249-020-00650-1,Journal Article / Letter,29/02/2020,20/03/2020,20,https://idpjournal.biomedcentral.com/about/editorial-board,0,0,0,Commentary,Commentary,Commentary,Editorial
PMC7312860,10.3390/ijerph17114119,Journal Article,17/05/2020,06/06/2020,20,https://www.mdpi.com/journal/ijerph/editors,0,0,0,Article,Article,Article,Article
PMC7312016,10.3390/ijerph17114013,Journal Article,14/05/2020,03/06/2020,20,https://www.mdpi.com/journal/ijerph/editors,0,0,0,Article,Article,Article,Article
PMC7312076,10.3390/ijerph17113793,Journal Article / Review,03/05/2020,23/05/2020,20,https://www.mdpi.com/journal/ijerph/editors,0,0,0,Review Article,Review,Meta-analysis,Article
PMC7312600,10.3390/ijerph17113780,Journal Article,02/05/2020,22/05/2020,20,https://www.mdpi.com/journal/ijerph/editors,0,0,0,Article,Article,Article,Article
PMC7277542,10.3390/ijerph17103433,Journal Article,22/04/2020,12/05/2020,20,https://www.mdpi.com/journal/ijerph/editors,0,0,0,Brief Report,Brief Report,Article,Article
PMC7215665,10.3390/ijerph17082857,Journal Article,01/04/2020,21/04/2020,20,https://www.mdpi.com/journal/ijerph/editors,0,0,0,Article,Article,Article,Article
PMC7247958,10.1007/s13762-020-02781-2,Journal Article / Review,28/04/2020,18/05/2020,20,https://www.springer.com/journal/13762/editors,0,0,0,Review Article,Review,Review,Editorial
PMC7318986,10.1016/j.ijid.2020.06.075,Journal Article / Review,03/06/2020,23/06/2020,20,https://www.ijidonline.com/content/edboard,0,0,0,Perspectives,Perspective,Article,Article
PMC7318955,10.1016/j.ijid.2020.06.074,Journal Article,03/06/2020,23/06/2020,20,https://www.ijidonline.com/content/edboard,0,0,0,Short communication,Short communication,Article,Article
PMC7158792,10.1016/j.ijid.2020.03.049,Journal Article,29/02/2020,20/03/2020,20,https://www.ijidonline.com/content/edboard,0,0,0,Short communication,Short communication,Case report,Article
PMC7323368,10.1007/s00038-020-01412-4,Journal Article / Letter,26/05/2020,15/06/2020,20,https://www.springer.com/journal/38/editors,0,0,0,Commentary,Commentary,Commentary,Editorial
PMC7258808,10.1016/j.ijsu.2020.05.076,Journal Article,07/05/2020,27/05/2020,20,https://www.sciencedirect.com/journal/international-journal-of-surgery/about/editorial-board,0,0,0,Perspectives,Perspective,Guidelines,Editorial
PMC7214340,10.1016/j.ijsu.2020.05.022,Journal Article / Review,19/04/2020,09/05/2020,20,https://www.sciencedirect.com/journal/international-journal-of-surgery/about/editorial-board,0,0,11,Review Article,Review,Review,Editorial
PMC7232920,10.1007/s11845-020-02252-0,Journal Article / Review,14/04/2020,04/05/2020,20,https://www.springer.com/journal/11845/editors,1,0,0,Review Article,Review,Review,Editorial
PMC7243161,10.1001/jama.2020.8907,Journal Article,21/04/2020,11/05/2020,20,https://jamanetwork.com/journals/jama/fullarticle/2770016,0,0,0,Research Letter,Research letter,Article,Article
PMC7265797,10.2196/19927,Journal Article,06/05/2020,26/05/2020,20,https://publichealth.jmir.org/about/editorialTeam,0,0,0,Article,Original paper,Article,Article
PMC7152872,10.1016/j.jaut.2020.102463,Journal Article,21/03/2020,10/04/2020,20,https://www.sciencedirect.com/journal/journal-of-autoimmunity/about/editorial-board,0,0,0,Article,-,Article,Article
